X.Phenotype.,SGN,subpopulation
Si_102_Si_102,140.67,yq
Si_105_Si_105,99.33,yy
Si_106_Si_106,93,yy
Si_108_Si_108,93.33,xx
Si_109_Si_109,133,zz
Si_113_Si_113,94,yy
Si_127_Si_127,24,zz
Si_129_Si_129,130.67,xx
Si_132_Si_132,25.33,zz
Si_134_Si_134,96.67,yq
Si_137_Si_137,60.33,zz
Si_139_Si_139,105,xx
Si_141_Si_141,38.67,yy
Si_143_Si_143,116.33,zz
Si_150_Si_150,90.33,xx
Si_151_Si_151,119.33,xx
Si_153_Si_153,92,yy
Si_156_Si_156,119.33,zz
Si_157_Si_157,103.67,xx
Si_162_Si_162,95.67,yq
Si_163_Si_163,54.67,yq
Si_166_Si_166,75.67,yy
Si_180_Si_180,113,yy
Si_181_Si_181,77.67,xx
Si_182_Si_182,101,zz
Si_183_Si_183,63.67,yy
Si_186_Si_186,76,zz
Si_189_Si_189,104.33,xx
Si_195_Si_195,88,zz
Si_197_Si_197,106.33,yq
Si_198_Si_198,95,zz
Si_200_Si_200,60.33,xx
Si_203_Si_203,123.33,yy
Si_204_Si_204,81.67,zz
Si_205_Si_205,106.67,xx
Si_206_Si_206,77,xx
Si_207_Si_207,98.67,yy
Si_208_Si_208,100.33,zz
Si_209_Si_209,81.33,xx
Si_210_Si_210,147.67,yq
Si_211_Si_211,45.33,yq
Si_212_Si_212,77.67,yy
Si_213_Si_213,85,yy
Si_214_Si_214,164,xx
Si_215_Si_215,135.33,zz
Si_217_Si_217,91,yy
Si_218_Si_218,78,zz
Si_219_Si_219,126,xx
Si_220_Si_220,75,zz
Si_223_Si_223,153.33,yq
Si_225_Si_225,117.33,zz
Si_226_Si_226,104,xx
Si_228_Si_228,109,yy
Si_231_Si_231,66.5,zz
Si_234_Si_234,104.33,xx
Si_236_Si_236,112.33,xx
Si_239_Si_239,82.67,yy
Si_240_Si_240,127,zz
Si_242_Si_242,128,xx
Si_245_Si_245,68,yq
Si_246_Si_246,137.67,yq
Si_248_Si_248,121.67,yy
Si_249_Si_249,95.33,yy
Si_251_Si_251,72.33,xx
Si_252_Si_252,137.33,zz
Si_253_Si_253,100.67,yy
Si_254_Si_254,107,zz
Si_255_Si_255,103,xx
Si_256_Si_256,103.33,zz
Si_257_Si_257,137.33,yq
Si_259_Si_259,98.67,zz
Si_260_Si_260,85.33,xx
Si_262_Si_262,92.33,yy
Si_263_Si_263,83.67,zz
Si_264_Si_264,90.67,xx
Si_269_Si_269,104.67,xx
YL_10_YL_10,39.67,yy
YL_100_YL_100,132.67,zz
YL_1004_YL_1004,90.33,xx
YL_1005_YL_1005,92.67,yq
YL_1009_YL_1009,135,yq
YL_1013_YL_1013,93.67,yy
YL_1016_YL_1016,92.67,yy
YL_1018_YL_1018,66.67,xx
YL_1019_YL_1019,100.33,zz
YL_102_YL_102,71.67,yy
YL_1020_YL_1020,85.67,zz
YL_1021_YL_1021,68.33,xx
YL_1034_YL_1034,104,zz
YL_1035_YL_1035,96.67,yq
YL_1036_YL_1036,109.33,zz
YL_1037_YL_1037,121.33,xx
YL_1038_YL_1038,112.33,yy
YL_104_YL_104,83.67,zz
YL_1044_YL_1044,192,xx
YL_1045_YL_1045,119,xx
YL_1046_YL_1046,105,yy
YL_1047_YL_1047,109.67,zz
YL_105_YL_105,57.67,xx
YL_1050_YL_1050,127.33,yq
YL_1052_YL_1052,80.33,yq
YL_1056_YL_1056,71.33,yy
YL_1057_YL_1057,78.33,yy
YL_106_YL_106,57.67,xx
YL_1062_YL_1062,77,zz
YL_1070_YL_1070,35.33,yy
YL_1071_YL_1071,81,zz
YL_1072_YL_1072,78,xx
YL_1073_YL_1073,63.67,zz
YL_1075_YL_1075,95,yq
YL_1076_YL_1076,96,zz
YL_1077_YL_1077,78,xx
YL_1078_YL_1078,91.67,yy
YL_108_YL_108,88.33,zz
YL_1080_YL_1080,128,xx
YL_1082_YL_1082,106.67,xx
YL_1084_YL_1084,88.33,yy
YL_1086_YL_1086,83.67,zz
YL_1088_YL_1088,129.67,xx
YL_1090_YL_1090,110.67,yq
YL_1096_YL_1096,63.67,zz
YL_1098_YL_1098,69.33,yq
YL_11_YL_11,97.33,zz
YL_1100_YL_1100,104,xx
YL_1101_YL_1101,77,zz
YL_1104_YL_1104,78.67,yq
YL_1106_YL_1106,94.33,yy
YL_1107_YL_1107,57.33,yy
YL_1108_YL_1108,35.33,xx
YL_1109_YL_1109,68,zz
YL_111_YL_111,52,yy
YL_1112_YL_1112,79.67,zz
YL_1114_YL_1114,51.33,xx
YL_1115_YL_1115,62,zz
YL_1116_YL_1116,78,yq
YL_1117_YL_1117,45,zz
YL_1119_YL_1119,116,xx
YL_1120_YL_1120,65.33,yy
YL_1122_YL_1122,84.33,zz
YL_1123_YL_1123,79,xx
YL_1127_YL_1127,59,xx
YL_1128_YL_1128,43.33,yy
YL_1129_YL_1129,29.67,zz
YL_1130_YL_1130,79.33,xx
YL_1131_YL_1131,51.33,yq
YL_1132_YL_1132,49,yq
YL_1133_YL_1133,73,yy
YL_1135_YL_1135,32.67,yy
YL_1136_YL_1136,65.67,xx
YL_1137_YL_1137,50.67,zz
YL_1140_YL_1140,32.33,yy
YL_1141_YL_1141,36.67,zz
YL_1143_YL_1143,45.33,xx
YL_1146_YL_1146,39.33,zz
YL_1147_YL_1147,45,yq
YL_1149_YL_1149,44,zz
YL_1150_YL_1150,46.67,xx
YL_1153_YL_1153,111,yy
YL_1154_YL_1154,81,zz
YL_1155_YL_1155,150.33,xx
YL_1156_YL_1156,43.67,xx
YL_1157_YL_1157,30,yy
YL_116_YL_116,115.33,zz
YL_1160_YL_1160,90,xx
YL_1163_YL_1163,64,yq
YL_1164_YL_1164,50.33,yq
YL_1166_YL_1166,83.67,yy
YL_1167_YL_1167,95,yy
YL_1169_YL_1169,57.67,xx
YL_117_YL_117,50.67,zz
YL_1170_YL_1170,34,yy
YL_1171_YL_1171,54,zz
YL_1173_YL_1173,108.67,xx
YL_1174_YL_1174,75.33,zz
YL_1175_YL_1175,79.33,yq
YL_1176_YL_1176,84,zz
YL_1177_YL_1177,82,xx
YL_1179_YL_1179,96,yy
YL_1181_YL_1181,97.67,zz
YL_1183_YL_1183,62.33,xx
YL_1185_YL_1185,39.33,xx
YL_1186_YL_1186,77.33,yy
YL_1187_YL_1187,113.33,zz
YL_1188_YL_1188,75.67,xx
YL_1192_YL_1192,53.33,yq
YL_1194_YL_1194,94.67,yq
YL_1197_YL_1197,97.67,yy
YL_12_YL_12,56.33,yy
YL_1200_YL_1200,56,xx
YL_1201_YL_1201,78.33,zz
YL_1203_YL_1203,65.67,yy
YL_1204_YL_1204,106.33,zz
YL_1205_YL_1205,40,xx
YL_1206_YL_1206,73.67,zz
YL_1207_YL_1207,105.33,yq
YL_1208_YL_1208,92.67,zz
YL_1209_YL_1209,48.67,xx
YL_121_YL_121,109.67,yy
YL_1211_YL_1211,57,zz
YL_1212_YL_1212,75.33,xx
YL_1214_YL_1214,56.33,xx
YL_1215_YL_1215,133,yy
YL_1216_YL_1216,22,zz
YL_1217_YL_1217,52.67,xx
YL_1218_YL_1218,24,yq
YL_1219_YL_1219,93,yq
YL_1220_YL_1220,21.67,yy
YL_1221_YL_1221,82.33,yy
YL_1224_YL_1224,103,xx
YL_1228_YL_1228,44.33,zz
YL_1230_YL_1230,47.67,yy
YL_1234_YL_1234,64.33,zz
YL_1235_YL_1235,61,xx
YL_1237_YL_1237,54.33,zz
YL_1238_YL_1238,67,yq
YL_1239_YL_1239,56.67,zz
YL_124_YL_124,106,xx
YL_1240_YL_1240,33.67,yy
YL_1241_YL_1241,103,zz
YL_1243_YL_1243,129,xx
YL_1245_YL_1245,62,xx
YL_1246_YL_1246,83.67,yy
YL_1247_YL_1247,69.67,zz
YL_125_YL_125,49,xx
YL_1254_YL_1254,117.67,yq
YL_1257_YL_1257,95.33,yq
YL_1262_YL_1262,73.67,yy
YL_1264_YL_1264,140.67,yy
YL_1265_YL_1265,140.67,xx
YL_127_YL_127,63,zz
YL_1275_YL_1275,110.67,yy
YL_1276_YL_1276,84,zz
YL_1277_YL_1277,111.67,xx
YL_1278_YL_1278,66.67,zz
YL_1279_YL_1279,110.33,yq
YL_1280_YL_1280,113.67,zz
YL_1281_YL_1281,56.67,xx
YL_1282_YL_1282,73,yy
YL_1283_YL_1283,79,zz
YL_1284_YL_1284,50.67,xx
YL_1287_YL_1287,123.67,xx
YL_1288_YL_1288,106.33,yy
YL_1289_YL_1289,53,zz
YL_129_YL_129,77.33,xx
YL_1292_YL_1292,74.67,yq
YL_1293_YL_1293,85.67,zz
YL_1294_YL_1294,126.33,yq
YL_1295_YL_1295,58.67,zz
YL_1296_YL_1296,93,xx
YL_1298_YL_1298,77,zz
YL_1299_YL_1299,128,yq
YL_1300_YL_1300,74.67,yy
YL_1301_YL_1301,65.5,yy
YL_1302_YL_1302,124.33,xx
YL_1303_YL_1303,103.67,zz
YL_1304_YL_1304,96.33,yy
YL_1306_YL_1306,51.33,zz
YL_1309_YL_1309,65.67,xx
YL_131_YL_131,78.33,zz
YL_1311_YL_1311,110.67,yq
YL_1312_YL_1312,131.33,zz
YL_1314_YL_1314,119.33,xx
YL_1315_YL_1315,121.33,yy
YL_1316_YL_1316,124.33,zz
YL_1318_YL_1318,79.67,xx
YL_1319_YL_1319,101.67,xx
YL_1321_YL_1321,81.67,yy
YL_1323_YL_1323,129.67,zz
YL_1325_YL_1325,62,xx
YL_1326_YL_1326,95.33,yq
YL_1327_YL_1327,105.67,yq
YL_1328_YL_1328,102.33,yy
YL_133_YL_133,103,yy
YL_1331_YL_1331,60,xx
YL_1332_YL_1332,104.33,zz
YL_1334_YL_1334,74.67,yy
YL_1335_YL_1335,110.33,zz
YL_1336_YL_1336,87,xx
YL_1337_YL_1337,103.33,zz
YL_1339_YL_1339,90,yq
YL_134_YL_134,94,zz
YL_1340_YL_1340,117.33,xx
YL_1343_YL_1343,100,yy
YL_1344_YL_1344,94,zz
YL_1345_YL_1345,76,xx
YL_1346_YL_1346,79.67,xx
YL_1347_YL_1347,93,yy
YL_1348_YL_1348,119.67,zz
YL_1349_YL_1349,82.67,xx
YL_1352_YL_1352,110.33,yq
YL_1353_YL_1353,81,yq
YL_1355_YL_1355,72.67,yy
YL_1356_YL_1356,130.67,yy
YL_1358_YL_1358,85,xx
YL_1359_YL_1359,116.33,zz
YL_136_YL_136,75.67,yy
YL_1360_YL_1360,96.33,zz
YL_1361_YL_1361,98.33,xx
YL_1362_YL_1362,82.33,zz
YL_1363_YL_1363,86,yq
YL_1364_YL_1364,143.67,zz
YL_1365_YL_1365,106.33,xx
YL_1367_YL_1367,153.33,yy
YL_1369_YL_1369,102.33,zz
YL_1370_YL_1370,73.33,xx
YL_1371_YL_1371,89.67,xx
YL_1373_YL_1373,115,yy
YL_1374_YL_1374,84.33,zz
YL_1376_YL_1376,65.67,xx
YL_1377_YL_1377,123.67,yq
YL_1378_YL_1378,136.33,yq
YL_1379_YL_1379,93.33,yy
YL_138_YL_138,80.67,yy
YL_1381_YL_1381,116,xx
YL_1382_YL_1382,78.67,zz
YL_1383_YL_1383,129,yy
YL_1384_YL_1384,143.67,zz
YL_1386_YL_1386,131.67,xx
YL_1387_YL_1387,113,zz
YL_1388_YL_1388,113.33,yq
YL_1389_YL_1389,131,zz
YL_1390_YL_1390,137.33,xx
YL_1391_YL_1391,107.33,yy
YL_1392_YL_1392,95,zz
YL_1393_YL_1393,126.33,xx
YL_1394_YL_1394,95,xx
YL_1397_YL_1397,40,yy
YL_1398_YL_1398,69,zz
YL_1399_YL_1399,106,xx
YL_140_YL_140,63.67,yq
YL_1400_YL_1400,52,yq
YL_1404_YL_1404,87.33,yy
YL_1405_YL_1405,91,yy
YL_1406_YL_1406,105.33,xx
YL_1407_YL_1407,94.33,zz
YL_1411_YL_1411,149,yy
YL_1415_YL_1415,86.67,zz
YL_1416_YL_1416,102,xx
YL_1417_YL_1417,72,zz
YL_1418_YL_1418,103.33,yq
YL_1419_YL_1419,141.33,zz
YL_1420_YL_1420,79,xx
YL_1422_YL_1422,131.67,yy
YL_1423_YL_1423,105.67,zz
YL_1424_YL_1424,96.33,xx
YL_1426_YL_1426,85,xx
YL_1427_YL_1427,112.33,yy
YL_1430_YL_1430,75.67,zz
YL_1431_YL_1431,53.67,xx
YL_1432_YL_1432,46.67,yq
YL_1433_YL_1433,75,yq
YL_1434_YL_1434,140.33,yy
YL_1435_YL_1435,86.67,yy
YL_1436_YL_1436,131.33,xx
YL_1437_YL_1437,77.33,zz
YL_1438_YL_1438,65,yy
YL_144_YL_144,81,zz
YL_1440_YL_1440,127,xx
YL_1442_YL_1442,82,zz
YL_1444_YL_1444,78,yq
YL_1445_YL_1445,52.67,zz
YL_1446_YL_1446,119.33,xx
YL_1447_YL_1447,68.67,yy
YL_1449_YL_1449,90,zz
YL_145_YL_145,74.67,xx
YL_1450_YL_1450,84.33,xx
YL_1451_YL_1451,61,yy
YL_1452_YL_1452,114,zz
YL_1453_YL_1453,94.67,xx
YL_1455_YL_1455,103.67,yq
YL_1456_YL_1456,84,zz
YL_1457_YL_1457,111.33,yq
YL_1459_YL_1459,96.33,zz
YL_1460_YL_1460,50,xx
YL_1461_YL_1461,70.67,zz
YL_1462_YL_1462,98,yq
YL_1463_YL_1463,136.33,yy
YL_1464_YL_1464,100,yy
YL_1465_YL_1465,143.67,xx
YL_1466_YL_1466,106.33,zz
YL_1467_YL_1467,140.67,yy
YL_1468_YL_1468,93,zz
YL_1469_YL_1469,104,xx
YL_147_YL_147,101.67,zz
YL_1470_YL_1470,154.67,yq
YL_1471_YL_1471,75.33,zz
YL_1473_YL_1473,89.33,xx
YL_1474_YL_1474,82.67,yy
YL_1475_YL_1475,145.33,zz
YL_1476_YL_1476,79.33,xx
YL_1477_YL_1477,130,xx
YL_1478_YL_1478,104.67,yy
YL_1479_YL_1479,85.67,zz
YL_1480_YL_1480,117,xx
YL_1483_YL_1483,128.33,yq
YL_1486_YL_1486,100.33,yq
